site,flux,flux_y0,flux_y1,soil,soil_y0,soil_y1,lat,lon,igbp,n_halfhour,has_soil,grid_idx,grid_dist_km
BE-Maa,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/BE-Maa_2016-2025_FLUXNET2015_Flux.nc,2016,2025,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_BE-Maa_2016-2025.nc,2016.0,2025.0,50.980438232421875,5.631309986114502,WSA,175344,True,61351,14.444231742384996
BE-Vie,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/BE-Vie_1997-2024_FLUXNET2015_Flux.nc,1997,2024,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_BE-Vie_1996-2025.nc,1996.0,2025.0,50.30506896972656,5.998050212860107,MF,490896,True,63079,19.45129060335858
BJ-Db1,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/BJ-Db1_2023-2024_FLUXNET2015_Flux.nc,2023,2024,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_BJ-Db1_2022-2024.nc,2022.0,2024.0,6.607337951660156,2.5430428981781006,CRO,35088,True,240329,1.3481421811793366
BJ-Nhu,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/BJ-Nhu_2008-2016_FLUXNET2015_Flux.nc,2008,2016,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_BJ-Nhu_2008-2017.nc,2008.0,2017.0,9.739999771118164,1.600000023841858,SAV,157824,True,226246,10.788842828484333
BR-CST,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/BR-CST_2014-2015_FLUXNET2015_Flux.nc,2014,2015,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_BR-CST_2014-2015.nc,2014.0,2015.0,-7.968200206756592,-38.38420104980469,DNF,35040,True,308024,15.470333133983837
BR-ITA,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/BR-ITA_2021-2023_FLUXNET2015_Flux.nc,2021,2023,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_BR-ITA_2020-2024.nc,2020.0,2024.0,-23.060400009155273,-48.64670181274414,EBF,52560,True,376503,14.65535620798417
BR-Ji3,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/BR-Ji3_2004-2009_FLUXNET2015_Flux.nc,2004,2009,,,,-10.078060150146484,-61.933101654052734,EBF,105216,False,316900,12.954156307280456
BR-Ma2,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/BR-Ma2_2000-2016_FLUXNET2015_Flux.nc,2000,2016,,,,-2.609100103378296,-60.20930099487305,EBF,298080,False,283626,7.16956945568357
BR-Ma3,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/BR-Ma3_2009-2017_FLUXNET2015_Flux.nc,2009,2017,,,,-2.390700101852417,-59.88349914550781,CVM,157776,False,282347,2.536787485604442
BR-SM1,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/BR-SM1_2015-2016_FLUXNET2015_Flux.nc,2015,2016,,,,-30.277099609375,-53.14789962768555,CRO,35088,False,406063,7.697344741617079
